Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,83088M102,SWKS ,"1,954,564","293,946,879.96",0.212,Skyworks Solutions Inc,Common Stock,Information Technology,10/21/2020
QQQ,92343E102,VRSN ,"1,343,904","276,252,906.24",0.199,VeriSign Inc,Common Stock,Information Technology,10/21/2020
QQQ,256746108,DLTR ,"2,776,779","263,349,720.36",0.190,Dollar Tree Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,156782104,CERN ,"3,573,370","259,283,727.20",0.187,Cerner Corp,Common Stock,Health Care,10/21/2020
QQQ,57772K101,MXIM ,"3,120,650","229,305,362.00",0.165,Maxim Integrated Products Inc,Common Stock,Information Technology,10/21/2020
QQQ,45337C102,INCY ,"2,559,082","226,734,665.20",0.163,Incyte Corp,Common Stock,Health Care,10/21/2020
QQQ,874054109,TTWO ,"1,337,920","220,154,736.00",0.159,Take-Two Interactive Software Inc,Common Stock,Communication Services,10/21/2020
QQQ,12514G108,CDW ,"1,669,423","215,088,459.32",0.155,CDW Corp/DE,Common Stock,Information Technology,10/21/2020
QQQ,M22465104,CHKP ,"1,640,530","204,180,363.80",0.147,Check Point Software Technologies Ltd,Common Stock,Information Technology,10/21/2020
QQQ,177376100,CTXS ,"1,445,494","197,107,561.84",0.142,Citrix Systems Inc,Common Stock,Information Technology,10/21/2020
QQQ,89677Q107,TCOM ,"6,119,492","183,829,539.68",0.133,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,10/21/2020
QQQ,09061G101,BMRN ,"2,122,068","164,460,270.00",0.119,BioMarin Pharmaceutical Inc,Common Stock,Health Care,10/21/2020
QQQ,90384S303,ULTA ,"659,003","153,448,848.55",0.111,Ulta Beauty Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,30212P303,EXPE ,"1,587,871","147,195,641.70",0.106,Expedia Group Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,35137L105,FOXA ,"4,021,490","106,850,989.30",0.077,Fox Corp,Common Stock,Communication Services,10/21/2020
QQQ,G5480U120,LBTYK ,"4,666,619","96,925,676.63",0.070,Liberty Global PLC,Common Stock,Communication Services,10/21/2020
QQQ,35137L204,FOX ,"3,054,953","81,719,992.75",0.059,Fox Corp,Common Stock,Communication Services,10/21/2020
QQQ,G5480U104,LBTYA ,"2,132,790","44,852,573.70",0.032,Liberty Global PLC,Common Stock,Communication Services,10/21/2020
